Active Layer Cost Fraction (%),Average Thickness (m),Standard Error,
10,1.0338349005593E-08,1.71836143433989E-09,
30,1.0062844281119E-08,1.65315269426010E-09,
50,1.76143211832564E-08,2.11125227324685E-09,
70,2.11681691915827E-08,2.20417568532309E-09,
90,7.3723694132674E-08,8.30632666762615E-09,
