Active Layer Cost Fraction (%),Average Thickness (m),Standard Error,
10,6.90078415320381E-08,1.39971385127961E-08,
30,4.58400154528871E-08,1.31982068259069E-08,
50,7.32213134776036E-08,1.65459172253321E-08,
70,2.38396633240116E-08,4.69411429838386E-09,
90,8.69847865104955E-08,1.49206919735546E-08,
