Active Layer Cost Fraction (%),Average Thickness (m),Standard Error,
10,1020179326.93536,4.29877294116599E+07,
30,777431113.008914,2.99804094650533E+07,
50,455262063.404554,2.02813411891395E+07,
70,250352499.776505,8.35009011865599E+06,
90,72341067.4416894,2.52761460653527E+06,
