Active Layer Cost Fraction (%),Average Thickness (m),Standard Error,
10,8.57653402809347E-08,1.65386869683510E-08,
30,8.47645959757286E-08,1.54882642074186E-08,
50,8.82463045137179E-08,1.31702316434285E-08,
70,8.32932561293532E-08,1.81138925261215E-08,
90,1.40664167828495E-07,1.78773926245044E-08,
