Active Layer Cost Fraction (%),Average Thickness (m),Standard Error,
10,4.35382207999999,7.55584340014438E-02,
30,3.859697536,6.15707532354983E-02,
50,3.800644784,5.57071568306218E-02,
70,3.589137768,7.06122681753938E-02,
90,3.209530752,6.92696454676962E-02,
