Active Layer Cost Fraction (%),Average Thickness (m),Standard Error,
10,1.93966333812024E-07,2.36752906155325E-24,
30,1.24561164917636E-07,2.36752906155325E-24,
50,1.06885136906745E-07,1.18376453077663E-24,
70,5.46962867787941E-07,1.89402324924261E-23,
90,6.66401814654509E-08,2.84103487386391E-23,
