Active Layer Cost Fraction (%),Average Thickness (m),Standard Error,
10,2.20149409045739E-07,1.81865617605799E-08,
30,1.61785926919866E-07,1.93450804358610E-08,
50,1.41422541633285E-07,1.50043199907929E-08,
70,1.30665747441041E-07,1.59203370271976E-08,
90,1.19611274408551E-07,1.57117895033201E-08,
