,15.0,25.0,50.0,75.0
1100.0,38.99373,40.190611,42.988396,45.351109
1000.0,36.084453,37.25844,39.812971,41.929098
800.0,29.95142,30.866912,32.903826,34.760955
600.0,23.254906,23.965717,25.574185,26.918791
400.0,15.951904,16.403893,17.462287,18.397948
200.0,8.059437,8.28448,8.791003,9.246028
100.0,3.924662,4.033398,4.274403,4.486019
