,15.0,25.0,50.0,75.0
1100.0,23.444122,24.269064,25.467308,26.998029
1000.0,22.869957,23.317339,24.92015,26.249103
800.0,20.76099,21.311129,22.687066,24.011125
600.0,17.819066,18.340213,19.537366,20.675453
400.0,13.591099,13.952257,14.919476,15.751468
200.0,7.617909,7.853728,8.36169,8.778348
100.0,3.901777,4.027783,4.277028,4.478362
