,15.0,25.0,50.0,75.0
1100.0,17.000083,17.454885,18.027625,19.571113
1000.0,16.954469,17.010531,18.285949,19.127796
800.0,15.807266,16.17153,17.05176,18.162522
600.0,14.312379,14.663129,15.594566,16.520381
400.0,11.709368,12.055425,12.870946,13.530365
200.0,7.109149,7.304323,7.795447,8.211876
100.0,3.787056,3.903436,4.150033,4.352499
