,15.0,25.0,50.0,75.0
1100.0,37.149677,38.196578,40.891335,43.2323
1000.0,34.596413,35.634287,38.120399,40.225828
800.0,28.915437,29.890665,31.893899,33.592999
600.0,22.724591,23.392423,24.983313,26.328543
400.0,15.727701,16.197405,17.232437,18.156395
200.0,8.027354,8.258309,8.76708,9.215771
100.0,3.929773,4.040724,4.283449,4.494066
