,15.0,25.0,50.0,75.0
1100.0,37.176492,38.221753,40.921833,43.263375
1000.0,34.618419,35.658147,38.145436,40.251277
800.0,28.931106,29.905691,31.909605,33.610915
600.0,22.733247,23.401697,24.993003,26.338396
400.0,15.731845,16.20139,17.236576,18.161044
200.0,8.028423,8.259337,8.76814,9.216949
100.0,3.93004,4.040981,4.283712,4.494357
