,15.0,25.0,50.0,75.0
1100.0,21.086416,21.715366,23.010143,23.603419
1000.0,20.303436,21.052709,22.034502,23.379469
800.0,18.810909,19.482566,20.662197,21.600297
600.0,16.465541,17.041172,18.132137,19.048767
400.0,12.857406,13.261523,14.10424,14.919109
200.0,7.399452,7.622047,8.120616,8.5332
100.0,3.832985,3.955644,4.201907,4.401548
